id;energia
876;5062,424
877;5359,152
878;5292,612
879;5015,047
880;1360,428
881;0
882;0
883;0
884;0
885;0
886;0
887;3950,981
888;4928,655
889;4956,063
890;4908,716
891;5080,956
892;4903,846
893;4659,364
894;4748,257
895;4895,576
896;4933,699
897;4868,363
898;5245,219
899;5088,565
900;4904,912
901;4847,323
902;4911,018
903;4912,784
904;4940,399
905;5370,803
906;5231,831
907;4981,984
908;4999,5
909;5009,389
910;4932,402
911;4831,443
912;5246,971
913;5276,146
914;4970,489
915;5029,991
916;4814,126
917;4695,718
918;4489,22
919;4604,224
920;4862,617
921;4699,747
922;4629,768
923;4728,97
924;4628,142
925;4678,843
926;4901,643
927;4831,672
928;4591,003
929;4564,181
930;4550,63
931;4365,594
932;4565,967
933;4863,134
934;4781,45
935;4511,992
936;4561,68
937;4473,752
938;4381,034
939;4291,605
940;4394,142
941;4150,033
942;4306,72
943;3289,169
944;2911,466
945;2774,27
946;3062,525
947;2988,354
948;3001,421
949;3272,703
950;3244,278
951;3250,9
952;3083,708
953;3224,988
954;3468,377
955;3422,306
956;3264,343
957;3397,611
958;3455,159
959;3296,566
960;3415,422
961;3433,243
962;3427,545
963;3360,142
964;3406,088
965;3413,41
966;3262,027
967;920,972
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;2367,745
978;3976,431
979;4332,904
980;4293,633
981;4211,186
982;4515,353
983;4012,78
984;4422,261
985;0
986;0
987;750,066
988;4357,828
989;4692,164
990;4667,63
991;4392,965
992;4184,739
993;4283,15
994;4296,619
995;3944,817
996;4610,593
997;4706,634
998;4555,2
999;23892,5
1000;34885,299
1001;28737,651
1002;27410,124
1003;0
1004;0
1005;15655,054
1006;38337,722
1007;38320,763
1008;35641,45
1009;29032,517
1010;30126,65
1011;35812,232
1012;40041,062
1013;35925,745
1014;30888,439
1015;26155,443
1016;23543,857
1017;24513,538
1018;23879,341
1019;24256,903
1020;25994,663
1021;25425,028
1022;24089,321
1023;29376,207
1024;37252,392
1025;38737,252
1026;40981,254
1027;44558,14
1028;44683,018
1029;44987,541
1030;44418,506
1031;48095,495
1032;52326,843
1033;52555,22
1034;37811,726
1035;42336,453
1036;43429,372
1037;40986,405
1038;47037,457
1039;48420,212
1040;40349,601
1041;39592,486
1042;41117,591
1043;44818,529
1044;42479,352
1045;41678,194
1046;43553,731
1047;41319,325
1048;40514,528
1049;42958,732
1050;43946,096
1051;50727,94
1052;56220,355
1053;58388,207
1054;56595,339
1055;59549,566
1056;57680,094
1057;59766,9
1058;64154,92
1059;71735,173
1060;70987,688
1061;69580,73
1062;70436,592
1063;75271,436
1064;79440,448
1065;81797,467
1066;35766,31
1067;0
1068;33775,534
1069;59608,001
1070;67115,542
1071;70288,866
1072;53947,703
1073;55118,948
1074;58385,937
1075;62490,17
1076;66264,225
1077;68130,337
1078;69850,711
1079;73887,371
1080;74341,367
1081;75379,884
1082;72468,105
1083;71274,619
1084;69657,207
1085;67964,738
1086;66921,647
1087;65077,312
1088;65888,57
1089;73165,06
1090;65830,317
1091;61567,631
1092;57030,018
1093;57435,188
1094;55915,262
1095;58920,422
1096;60987,496
1097;58319,981
1098;39364,885
1099;0
1100;0
1101;0
1102;0
1103;29854,832
1104;62399,521
1105;64899,102
1106;67334,129
1107;69333,665
1108;65970,708
1109;60273,209
1110;67273,02
1111;65596,522
1112;49597,468
1113;60151,46
1114;68557,829
1115;71914,715
1116;73040,513
1117;76267,257
1118;78554,181
1119;84987,071
1120;93486,069
1121;88086,145
1122;83697,288
1123;74523,699
1124;66443,28
1125;70600,992
1126;70171,745
1127;69835,062
1128;69321,971
1129;67363,438
1130;65890,842
1131;69598,941
1132;67709,837
1133;62134,842
1134;61187,235
1135;56627,04
1136;53798,301
1137;52378,55
1138;57005,036
1139;63532,613
1140;55858,08
1141;51798,588
1142;57963,848
1143;52360,973
1144;45686,12
1145;49003,225
1146;50788,661
1147;49645,425
1148;48548,035
1149;63333,419
1150;66746,044
1151;54215,64
1152;51681,753
1153;48049,685
1154;45718,806
1155;48877,666
